date,actual_y_h5,lasso_bic_y_h5,lasso_bic_var_count_y_h5,lasso_aic_y_h5,lasso_aic_var_count_y_h5,lasso_cv_y_h5,lasso_cv_var_count_y_h5,lasso_val_y_h5,lasso_val_var_count_y_h5,ridge_cv_y_h5,ridge_val_y_h5
2024-10-20,-6.898530866282754,-7.806628323045259,5,-7.8449662840514,34,-7.844521366716429,34,-7.766458765183166,4,-7.761489088285781,-7.749486448290636
2024-10-21,-8.921658190779526,-8.393454313238346,5,-8.399076942710039,36,-8.398493945859938,36,-8.338654743712542,4,-8.198331163857354,-7.876527560004833
2024-10-22,-9.079636360099444,-7.972128541457985,5,-7.94848096915979,36,-7.951057155936143,35,-7.949255805463299,4,-7.879794565919637,-7.752595345762922
2024-10-23,-7.784069601964099,-7.516013423819589,5,-7.421575439942632,35,-7.42491464341509,35,-7.511515064601981,4,-7.44333517607668,-7.524752116454636
2024-10-24,-7.368623299413477,-7.537006435205687,5,-7.496492770668371,35,-7.497211508332865,35,-7.53118804563795,4,-7.351890838785484,-7.415718873378554
2024-10-25,-7.512997901045132,-7.586688235862488,5,-7.524184808159166,36,-7.526689644063912,36,-7.577175150917261,4,-7.466994058294628,-7.429831350467766
2024-10-26,-7.671750079550882,-7.526674033439299,5,-7.579708022865386,36,-7.5819249513957265,36,-7.5322643591500755,4,-7.507391178497928,-7.393259156161026
2024-10-27,-6.998467037027406,-7.344851215991759,5,-7.386929618173963,35,-7.383682510375081,35,-7.333105570155985,4,-7.554832805243361,-7.474680108773479
2024-10-28,-8.813773417610177,-8.09553428259325,5,-8.114339484025935,37,-8.115291327381103,36,-8.052786368846068,4,-7.876932669973421,-7.613192295563141
2024-10-29,-7.784664629556363,-8.01748792961086,5,-8.066028136726874,37,-8.064454971684983,36,-7.993176416252776,4,-7.986944212391352,-7.658340949803211
2024-10-30,-7.509206844606907,-7.499912891415579,5,-7.440170305517919,36,-7.444146135750328,36,-7.501731001945196,4,-7.331930544815538,-7.5044163035033655
2024-10-31,-7.320254941313007,-7.351720919647615,5,-7.238228680577765,35,-7.238821845233806,35,-7.368007038881386,4,-7.326166378326996,-7.43731064569317
2024-11-01,-6.357178323463686,-7.435370354136784,5,-7.368328822949595,33,-7.368909626949035,33,-7.436518713043512,4,-7.312343469157296,-7.4294781906931355
2024-11-02,-7.505193457512192,-7.4286039032546665,5,-7.485020845964071,33,-7.485980710336547,33,-7.437483469836572,4,-7.489639788497884,-7.49693481509678
2024-11-03,-7.882091528500882,-7.376330290208073,5,-7.387548217844501,34,-7.38885527636721,33,-7.366133642043185,3,-7.513402666255828,-7.597720017131675
2024-11-04,-8.951124037321541,-7.924570247526262,5,-8.135611884565167,32,-8.135046081123543,32,-7.901603556075343,3,-7.977906847295991,-7.722042225189227
2024-11-05,-6.982350958300895,-7.526401365125637,5,-7.53079752463309,33,-7.531165137246937,32,-7.526511211593694,4,-7.67028673204963,-7.593151049922667
2024-11-06,-6.610143513022823,-7.408637087217053,5,-7.529330801311011,32,-7.528721223242988,32,-7.415761581606661,4,-7.577110395002482,-7.550269572671075
