date,HASH_RATE,DIFFICULTY,MINERS_REV_USD,TX_COUNT,UNIQUE_ADDR,FEES_USD,AVG_BLOCK_SIZE_MB,MED_CONFIRM_TIME,EST_TX_VOL_USD,FEES_USD_PER_TX,AVG_TX_VALUE_USD
2023-10-28,436874638.6171956,61030681983176.0,34005980.050704196,452816.0,778594.0,883836.3007042103,1.656251759740259,10.025,5410058415.255335,1.951866322533237,11947.586691405195
2023-10-29,415637677.0177486,61030681983176.0,34005980.050704196,452816.0,778594.0,883836.3007042103,1.656251759740259,9.433333333333334,1726351388.5867956,1.951866322533237,3812.4787741307628
2023-10-30,415637677.0177486,61030681983176.0,34005980.050704196,452816.0,779588.0,883836.3007042103,1.656251759740259,9.433333333333334,1726351388.5867956,1.951866322533237,3812.4787741307628
2023-10-31,415637677.0177486,61030681983176.0,33982514.00176837,433751.0,779588.0,627895.2517683898,1.67983035483871,9.433333333333334,1726351388.5867956,1.447593784840588,3980.0516623288377
2023-11-01,415637677.0177486,61030681983176.0,33982514.00176837,433751.0,779588.0,627895.2517683898,1.67983035483871,9.433333333333334,1726351388.5867956,1.447593784840588,3980.0516623288377
2023-11-02,447130946.6720681,62463471666733.0,33982514.00176837,433751.0,779588.0,627895.2517683898,1.67983035483871,8.425,4431468530.768458,1.447593784840588,10216.61859169998
2023-11-03,447130946.6720681,62463471666733.0,33982514.00176837,433751.0,789502.0,627895.2517683898,1.67983035483871,8.425,4431468530.768458,1.447593784840588,10216.61859169998
2023-11-04,447130946.6720681,62463471666733.0,40679663.2595844,698917.0,789502.0,2833807.009584391,1.6867411428571444,8.425,4431468530.768458,4.0545687250194105,6340.478956397481
2023-11-05,447130946.6720681,62463471666733.0,40679663.2595844,698917.0,789502.0,2833807.009584391,1.6867411428571444,8.425,4431468530.768458,4.0545687250194105,6340.478956397481
2023-11-06,394344654.35661566,62463471666733.0,40679663.2595844,698917.0,789502.0,2833807.009584391,1.6867411428571444,10.233333333333333,3548525600.407826,4.0545687250194105,5077.17740505357
2023-11-07,394344654.35661566,62463471666733.0,40679663.2595844,698917.0,737771.0,2833807.009584391,1.6867411428571444,10.233333333333333,3548525600.407826,4.0545687250194105,5077.17740505357
2023-11-08,394344654.35661566,62463471666733.0,37138019.602830954,583201.0,737771.0,4180094.6028309595,1.6537917315436244,10.233333333333333,3548525600.407826,7.167502461125683,6084.567071057536
2023-11-09,394344654.35661566,62463471666733.0,37138019.602830954,583201.0,737771.0,4180094.6028309595,1.6537917315436244,10.233333333333333,3548525600.407826,7.167502461125683,6084.567071057536
2023-11-10,478181706.85762835,62463471666732.94,37138019.602830954,583201.0,737771.0,4180094.6028309595,1.6537917315436244,9.4,5561958753.50992,7.167502461125683,9536.949959807887
2023-11-11,478181706.85762835,62463471666732.94,37138019.602830954,583201.0,894325.0,4180094.6028309595,1.6537917315436244,9.4,5561958753.50992,7.167502461125683,9536.949959807887
2023-11-12,478181706.85762835,62463471666732.94,44174930.492356926,703327.0,894325.0,4545267.992356922,1.7385089689440993,9.4,5561958753.50992,6.462524533192841,7908.069437843165
2023-11-13,478181706.85762835,62463471666732.94,44174930.492356926,703327.0,894325.0,4545267.992356922,1.7385089689440993,9.4,5561958753.50992,6.462524533192841,7908.069437843165
2023-11-14,443696225.37862045,64678587803497.0,44174930.492356926,703327.0,894325.0,4545267.992356922,1.7385089689440993,11.0,5561958753.50992,6.462524533192841,7908.069437843165
2023-11-15,443696225.37862045,64678587803497.0,44174930.492356926,703327.0,770577.0,4545267.992356922,1.7385089689440993,11.0,4102614220.8767323,6.462524533192841,5833.153314001499
2023-11-16,443696225.37862045,64678587803497.0,45968659.957687706,628426.0,770577.0,11745134.957687715,1.6810763040540544,11.0,4102614220.8767323,18.689766110389634,6528.396694084478
2023-11-17,443696225.37862045,64678587803497.0,45968659.957687706,628426.0,770577.0,11745134.957687715,1.6810763040540544,11.0,4102614220.8767323,18.689766110389634,6528.396694084478
2023-11-18,479063315.80735093,64678587803496.94,45968659.957687706,628426.0,770577.0,11745134.957687715,1.6810763040540544,10.766666666666667,4102614220.8767323,18.689766110389634,6528.396694084478
2023-11-19,479063315.80735093,64678587803496.94,45968659.957687706,628426.0,806772.0,11745134.957687715,1.6810763040540544,10.766666666666667,1523180186.5402942,18.689766110389634,2423.8019855007497
2023-11-20,479063315.80735093,64678587803496.94,45344546.355345115,640670.0,806772.0,6632827.605345135,1.7177419397590374,10.766666666666667,1523180186.5402942,10.352954883707891,2377.480116971755
2023-11-21,479063315.80735093,64678587803496.94,45344546.355345115,640670.0,806772.0,6632827.605345135,1.7177419397590374,10.766666666666667,1523180186.5402942,10.352954883707891,2377.480116971755
2023-11-22,456556985.5345224,64678587803496.984,45344546.355345115,640670.0,806772.0,6632827.605345135,1.7177419397590374,9.95,1523180186.5402942,10.352954883707891,2377.480116971755
2023-11-23,456556985.5345224,64678587803496.984,45344546.355345115,640670.0,771284.0,6632827.605345135,1.7177419397590374,9.95,3787901261.3864956,10.352954883707891,5912.406170706441
2023-11-24,456556985.5345224,64678587803496.984,43175803.346235916,623898.0,771284.0,3678253.3462359216,1.751372083333334,9.95,3787901261.3864956,5.895600476738059,6071.3470172792595
2023-11-25,456556985.5345224,64678587803496.984,43175803.346235916,623898.0,771284.0,3678253.3462359216,1.751372083333334,9.95,3787901261.3864956,5.895600476738059,6071.3470172792595
2023-11-26,492891191.48160595,67912869716769.22,43175803.346235916,623898.0,771284.0,3678253.3462359216,1.751372083333334,8.216666666666667,3787901261.3864956,5.895600476738059,6071.3470172792595
2023-11-27,492891191.48160595,67912869716769.22,43175803.346235916,623898.0,759608.0,3678253.3462359216,1.751372083333334,8.216666666666667,5524499401.188489,5.895600476738059,8854.811846148712
2023-11-28,492891191.48160595,67912869716769.22,37326757.10887134,447662.0,759608.0,2947957.1088713603,1.7175090136054423,8.216666666666667,5524499401.188489,6.585229724370977,12340.782557350163
2023-11-29,492891191.48160595,67912869716769.22,37326757.10887134,447662.0,759608.0,2947957.1088713603,1.7175090136054423,8.216666666666667,5524499401.188489,6.585229724370977,12340.782557350163
2023-11-30,452678810.6117344,67957790298898.0,37326757.10887134,447662.0,759608.0,2947957.1088713603,1.7175090136054423,10.225,5524499401.188489,6.585229724370977,12340.782557350163
2023-12-01,452678810.6117344,67957790298898.0,37326757.10887134,447662.0,844580.0,2947957.1088713603,1.7175090136054423,10.225,5505329810.390505,6.585229724370977,12297.960984828967
2023-12-02,452678810.6117344,67957790298898.0,33852262.01674702,429362.0,844580.0,2513230.7667470495,1.6821237322834648,10.225,5505329810.390505,5.853407536640526,12822.117025704429
2023-12-03,452678810.6117344,67957790298898.0,33852262.01674702,429362.0,844580.0,2513230.7667470495,1.6821237322834648,10.225,5505329810.390505,5.853407536640526,12822.117025704429
2023-12-04,523621012.2747674,67957790298898.0,33852262.01674702,429362.0,844580.0,2513230.7667470495,1.6821237322834648,8.683333333333334,5505329810.390505,5.853407536640526,12822.117025704429
2023-12-05,523621012.2747674,67957790298898.0,33852262.01674702,429362.0,674260.0,2513230.7667470495,1.6821237322834648,8.683333333333334,7424874757.09328,5.853407536640526,17292.808299507826
2023-12-06,523621012.2747674,67957790298898.0,50935074.8445154,467795.0,674260.0,13072631.094515415,1.5178013455882353,8.683333333333334,7424874757.09328,27.945213383031916,15872.069511416923
2023-12-07,523621012.2747674,67957790298898.0,50935074.8445154,467795.0,674260.0,13072631.094515415,1.5178013455882353,8.683333333333334,7424874757.09328,27.945213383031916,15872.069511416923
2023-12-08,456057010.69092655,67957790298898.0,50935074.8445154,467795.0,674260.0,13072631.094515415,1.5178013455882353,10.316666666666666,7424874757.09328,27.945213383031916,15872.069511416923
2023-12-09,456057010.69092655,67957790298898.0,50935074.8445154,467795.0,739198.0,13072631.094515415,1.5178013455882353,10.316666666666666,3136020521.05905,27.945213383031916,6703.835058217916
2023-12-10,456057010.69092655,67957790298898.0,44686549.54716012,536175.0,739198.0,5226068.297160152,1.7631495714285716,10.316666666666666,3136020521.05905,9.746945115233183,5848.874940194993
2023-12-11,456057010.69092655,67957790298898.0,44686549.54716012,536175.0,739198.0,5226068.297160152,1.7631495714285716,10.316666666666666,3136020521.05905,9.746945115233183,5848.874940194993
2023-12-12,481794448.2864064,67305906902031.055,44686549.54716012,536175.0,739198.0,5226068.297160152,1.7631495714285716,10.425,3136020521.05905,9.746945115233183,5848.874940194993
2023-12-13,481794448.2864064,67305906902031.055,44686549.54716012,536175.0,617899.0,5226068.297160152,1.7631495714285716,10.425,3795478024.164756,9.746945115233183,7078.804539869922
2023-12-14,481794448.2864064,67305906902031.055,53487706.78018544,570985.0,617899.0,14334881.780185414,1.5073960068493146,10.425,3795478024.164756,25.105531283983666,6647.24646735861
2023-12-15,481794448.2864064,67305906902031.055,53487706.78018544,570985.0,617899.0,14334881.780185414,1.5073960068493146,10.425,3795478024.164756,25.105531283983666,6647.24646735861
2023-12-16,508560806.52454,67305906902031.1,53487706.78018544,570985.0,617899.0,14334881.780185414,1.5073960068493146,8.3,3795478024.164756,25.105531283983666,6647.24646735861
2023-12-17,508560806.52454,67305906902031.1,53487706.78018544,570985.0,570690.0,14334881.780185414,1.5073960068493146,8.3,2288390935.236568,25.105531283983666,4007.7951876784296
2023-12-18,508560806.52454,67305906902031.1,59706278.14765298,640936.0,570690.0,16173259.397652986,1.6657721190476187,8.3,2288390935.236568,25.23381335679847,3570.3891421866892
2023-12-19,508560806.52454,67305906902031.1,59706278.14765298,640936.0,570690.0,16173259.397652986,1.6657721190476187,8.3,2288390935.236568,25.23381335679847,3570.3891421866892
2023-12-20,485140243.06617314,67305906902031.06,59706278.14765298,640936.0,570690.0,16173259.397652986,1.6657721190476187,9.066666666666666,2288390935.236568,25.23381335679847,3570.3891421866892
2023-12-21,485140243.06617314,67305906902031.06,59706278.14765298,640936.0,699086.0,16173259.397652986,1.6657721190476187,9.066666666666666,4308624956.614696,25.23381335679847,6722.394992034611
2023-12-22,485140243.06617314,67305906902031.06,60254531.70180586,625531.0,699086.0,14228006.701805843,1.7013262500000004,9.066666666666666,4308624956.614696,22.74548615784964,6887.9479300221665
2023-12-23,485140243.06617314,67305906902031.06,60254531.70180586,625531.0,699086.0,14228006.701805843,1.7013262500000004,9.066666666666666,4308624956.614696,22.74548615784964,6887.9479300221665
2023-12-24,612085087.5512694,72006146478567.25,60254531.70180586,625531.0,699086.0,14228006.701805843,1.7013262500000004,6.383333333333334,4308624956.614696,22.74548615784964,6887.9479300221665
