day,EMA10,EMA30,EMA200,RSI14,MOM10,ROC10,ATR14,BB_WIDTH,OBV,STOCH_K
2025-03-21,84182.58453511204,84199.07451097139,84730.14842801681,51.48120929525383,119.22000000000116,0.0014175278110466483,100.94214285714199,0.004420726965501202,-78887.01148700755,68.80979017785818
2025-03-22,84108.3715756672,84163.21348052644,84132.0923462575,41.694673357579504,-122.34000000001106,-0.0014527770854043665,45.63571428571283,0.0032458435180489835,-79301.49551700767,21.9363997728518
2025-03-23,83841.04444539911,83929.68712160602,84121.23594428027,33.24611934391504,-37.279999999998836,-0.00044445573069507027,57.46428571428468,0.0044331446706444445,-80087.57884700768,58.57298178852789
2025-03-24,85735.58398732862,85509.67299194419,84971.22138165474,86.55940314254437,606.8399999999965,0.007099564952174564,128.3292857142847,0.009000076178585503,-78868.03562700772,94.51554355919592
2025-03-25,87350.12888870621,87543.68222669755,87592.68317481555,54.19314565232955,121.16999999999825,0.0013867495321135959,127.14357142857209,0.006751845970220697,-76742.25813700781,91.97320290986848
2025-03-26,87404.64105206572,87533.8996754994,87594.60019311252,44.515908588426925,142.33000000000175,0.0016312793021109329,128.8828571428603,0.005203610177513506,-77995.48053700781,48.291732393058986
2025-03-27,86848.16536052768,86868.27275430881,87083.28434719336,45.162987507276284,224.38000000000466,0.002588458713460584,104.44357142856981,0.0053685233405467575,-80542.9242070079,74.51599055591385
2025-03-28,87246.28030192103,87298.9996931956,87195.5213171539,42.24524185858124,-45.279999999998836,-0.000518806209496181,84.12500000000207,0.003611115037805034,-78826.9123770079,33.991371421100084
2025-03-29,84367.10174224459,84260.23682302458,84624.47778995614,53.88051595383565,43.36000000000058,0.0005138596333631451,90.75857142857421,0.0038511858908543777,-83573.87808700778,66.24837604818852
2025-03-30,82526.283735219,82483.10818530206,82801.33915998248,79.01934929931369,211.59999999999127,0.002566810461426483,75.19428571428891,0.004528423719573642,-85267.79314700775,92.5799961678458
2025-03-31,82271.51734587045,82291.61714609165,82655.89806927298,43.921149373546385,137.99000000000524,0.0016776491757040102,164.90285714286023,0.00857782003818246,-85806.35548700774,74.83737342743264
2025-04-01,82479.11175067112,82500.93628098871,82632.20385684122,63.043044109227516,-8.020000000004075,-9.714379085845604e-05,119.72714285714548,0.0040944797980948505,-84540.85015700781,44.13833139824129
2025-04-02,85209.18497627904,85204.35882491604,84556.12419361348,42.585125669958856,162.56999999999243,0.0019126834194218567,116.57428571428838,0.0047312273916682935,-83164.46129700792,30.95261518281622
2025-04-03,82672.91018324358,83348.59919931096,85041.32947161666,32.249007780639374,-19.69000000000233,-0.0002385626244457706,245.35571428571816,0.014810550662670879,-82061.80249700796,24.35359801488754
