date,actual_y_h1,rf_val_y_h1_pred,rf_val_y_h1_m,rf_cv_y_h1_pred,rf_cv_y_h1_m
2024-09-10,-6.956664836147295,-7.621888249318898,127,-7.675886012454286,170
2024-09-11,-7.375311173852939,-7.420675121920616,127,-7.239894509445897,170
2024-09-12,-7.641682246432809,-7.584345695294647,127,-7.596713378616525,170
2024-09-13,-8.772444578271369,-7.848371219544098,127,-7.966572889254862,170
2024-09-14,-8.222190817885775,-7.99897619291369,127,-7.927629973855934,170
2024-09-15,-7.505284819602623,-7.49588313284099,127,-7.411304309548857,170
2024-09-16,-7.206662096750962,-7.3274589081094765,127,-7.31772987585915,170
2024-09-17,-7.000512980515621,-7.262164006982127,127,-7.175551345103706,170
2024-09-18,-7.40385524870723,-7.1747933027181325,127,-7.237229600756234,170
2024-09-19,-7.62533614746632,-7.601152601494457,127,-7.647047910118139,170
2024-09-20,-9.118912980170885,-7.753717750338847,127,-7.727401627141627,170
2024-09-21,-8.210854186197356,-7.980642795603712,127,-7.987893222061088,170
2024-09-22,-7.594933488516639,-7.357541740030492,127,-7.31263163597909,170
2024-09-23,-7.695982377007085,-7.369501371877597,127,-7.316703472556494,170
2024-09-24,-7.912236774178686,-7.446178005940223,127,-7.543307109405909,170
2024-09-25,-7.548593418115738,-7.637601426536352,127,-7.750975075729882,170
2024-09-26,-8.156771512470494,-7.710905556646293,127,-7.659217015383385,170
2024-09-27,-9.137411157807458,-7.536776805223099,127,-7.726517416907017,170
2024-09-28,-9.22010927366513,-8.318330975572062,127,-8.32787530979954,170
2024-09-29,-7.657672162115085,-8.001914791772439,127,-8.038185977335935,170
2024-09-30,-7.16418081548918,-7.5318985581971205,127,-7.5754859809721085,170
2024-10-01,-6.873239201215958,-7.356716176041894,127,-7.404739676975194,170
2024-10-02,-7.372161845921349,-7.165088096476636,127,-7.182560723216293,170
2024-10-03,-7.762377171311247,-7.759544017444768,127,-7.748080088530179,170
2024-10-04,-9.410517858234718,-7.984161092280318,127,-7.93379804793791,170
2024-10-05,-8.859802514595454,-8.286033021916587,127,-8.357027135037256,170
2024-10-06,-7.354846982929903,-7.713110348715208,127,-7.663951915548052,170
2024-10-07,-7.717832727168758,-7.312347710841346,127,-7.407419859569303,170
2024-10-08,-7.9430170498383745,-7.606199298632812,127,-7.790495525508544,170
2024-10-09,-7.587117550241822,-7.75648931653551,127,-7.596182664045326,170
2024-10-10,-7.8173580785041725,-7.9315505114144464,127,-7.94247055876777,170
2024-10-11,-8.746814229333626,-7.890389890314659,127,-8.033524242728717,170
2024-10-12,-8.44461347063351,-7.975792342078183,127,-8.022399690906365,170
2024-10-13,-7.511216222523129,-7.678138820665441,127,-7.582198439560833,170
2024-10-14,-6.879154515339575,-7.4075605296759015,127,-7.356303709303709,170
2024-10-15,-7.561391084229369,-7.071176189264176,127,-7.0948168572786905,170
2024-10-16,-7.954807249048968,-7.727780033231985,127,-7.773917544214497,170
2024-10-17,-7.899727601495052,-8.120167042837664,127,-8.114031990143134,170
2024-10-18,-9.798785632524316,-8.129469076365703,127,-8.099273822911409,170
2024-10-19,-9.000277471682907,-8.16896277814203,127,-8.141501847640093,170
2024-10-20,-7.724745468477852,-7.876234015967135,127,-8.14747316819156,170
2024-10-21,-7.774179791525233,-7.491585431832966,127,-7.54215660800317,170
2024-10-22,-7.863362515397026,-7.878458341013951,127,-7.843389035450023,170
2024-10-23,-8.018551193752419,-7.8638995402552645,127,-7.843290837302211,170
2024-10-24,-6.898530866282754,-7.933179716050169,127,-7.723923149489395,170
2024-10-25,-8.921658190779526,-6.949128215513358,127,-6.8394398433361685,170
2024-10-26,-9.079636360099444,-8.102153232260969,127,-8.208640104610138,170
2024-10-27,-7.784069601964099,-8.074242649252035,127,-8.119232656110686,170
2024-10-28,-7.368623299413477,-7.532429354923946,127,-7.525775293698807,170
2024-10-29,-7.512997901045132,-7.779873545418791,127,-7.676530435423505,170
2024-10-30,-7.671750079550882,-7.657286662702399,127,-7.759207484129444,170
2024-10-31,-6.998467037027406,-7.80835310582385,127,-7.836383686976096,170
2024-11-01,-8.813773417610177,-7.216467892883605,127,-7.2863034543188725,170
2024-11-02,-7.784664629556363,-8.117746948915476,127,-8.125657939306162,170
2024-11-03,-7.509206844606907,-7.548309170855555,127,-7.531345010262341,170
2024-11-04,-7.320254941313007,-7.357213653130475,127,-7.3470638461279165,170
2024-11-05,-6.357178323463686,-7.490156901538818,127,-7.435283805403765,170
2024-11-06,-7.505193457512192,-6.9669293409190685,127,-7.043385745790824,170
2024-11-07,-7.882091528500882,-8.025036742105513,127,-8.012329527814341,170
2024-11-08,-8.951124037321541,-7.875592760988138,127,-7.96374561182621,170
2024-11-09,-6.982350958300895,-8.139481255279827,127,-8.394446200304218,170
2024-11-10,-6.610143513022823,-7.325551716134182,127,-7.198559935500617,170
2024-11-11,-5.89742196217559,-7.114038613575559,127,-7.011122977313696,170
2024-11-12,-5.970825445834223,-6.5778533150653375,127,-6.681943410343345,170
2024-11-13,-6.298780197423048,-6.5467832343827705,127,-6.443491789611048,170
2024-11-14,-6.69026855754187,-6.459409590064369,127,-6.435081095864016,170
2024-11-15,-7.962925402749825,-6.8110310551250155,127,-6.754281413316862,170
2024-11-16,-7.719913234094788,-7.543677238996448,127,-7.574231655005292,170
2024-11-17,-6.813641525214108,-7.385628259811475,127,-7.3722331777598535,170
2024-11-18,-7.123061515534054,-7.019412723928456,127,-7.12940473960392,170
2024-11-19,-7.349584827177567,-7.199228349447004,127,-7.0365701439281425,170
2024-11-20,-6.927758814622679,-7.238528664428263,127,-7.221680112964058,170
2024-11-21,-7.639603303246092,-7.022398383851713,127,-7.192115137871216,170
2024-11-22,-8.458730870211758,-7.997794818269798,127,-7.98658559514298,170
2024-11-23,-7.906636805257383,-8.025774214110095,127,-8.063209310052834,170
2024-11-24,-6.845783544407805,-7.351102130946243,127,-7.367841908132732,170
2024-11-25,-6.704121318827724,-6.871495816455084,127,-6.801406371745161,170
2024-11-26,-7.421131408187987,-6.841800278404874,127,-6.864631502676475,170
2024-11-27,-7.777480941685613,-7.478821773276373,127,-7.485006212961395,170
2024-11-28,-7.7915055329164575,-7.648419273030126,127,-7.793003813200652,170
2024-11-29,-8.944575839059315,-7.581859156159967,127,-7.55988351764501,170
2024-11-30,-8.526681786585359,-8.067697249254316,127,-7.799700160315243,170
2024-12-01,-7.227776218845283,-7.602180350615049,127,-7.615030307720969,170
2024-12-02,-7.477860175072574,-7.114671364581174,127,-7.074720911748389,170
2024-12-03,-7.352016227925319,-7.626162831867264,127,-7.584149816559584,170
2024-12-04,-5.520755763032788,-7.441151188103419,127,-7.554800675494945,170
2024-12-05,-7.056676956855624,-6.528162156339222,127,-6.589151899790424,170
2024-12-06,-8.28612317218258,-7.2655411257341935,127,-7.17155953261919,170
2024-12-07,-8.152794625419403,-7.887474669275581,127,-7.928307873933428,170
2024-12-08,-6.452164940538162,-7.387320070436687,127,-7.2251428080187425,170
2024-12-09,-6.668355412158304,-6.61077878812835,127,-6.62803778262816,170
2024-12-10,-7.380414836630238,-6.861720999734174,127,-6.909888958265712,170
2024-12-11,-7.347004798406336,-7.534956650528283,127,-7.577283312599284,170
2024-12-12,-7.800269430130499,-7.340916305262027,127,-7.126438533674006,170
